country,country_code,year,agriculture_pct_gdp,gdp_usd,gdp_per_capita_usd,inflation_pct,population
Benin,BEN,2000,23.5412339925262,3519991440.47913,487.424141384242,4.16540442290283,7221619.0
Benin,BEN,2001,25.0481627427766,3666222635.13875,492.401499509072,3.98429547767893,7445596.0
Benin,BEN,2002,25.38272927764,4194342686.2178,546.463829658159,2.48916235491541,7675426.0
Benin,BEN,2003,24.4539837351198,5349258094.48239,676.002878084282,1.48724246145442,7913070.0
Benin,BEN,2004,26.5208492800284,6190270380.49856,758.695803786371,0.8738908308685,8159094.0
Benin,BEN,2005,26.6894285026991,6567654954.38903,779.437777753268,5.36452085832342,8426144.0
Benin,BEN,2006,26.631803428758,7034111314.88812,809.147072506221,3.78217696540375,8693242.0
Benin,BEN,2007,26.9710869666408,8169048382.83875,912.338247188342,1.29806813334152,8953969.0
Benin,BEN,2008,26.8261561852139,9787734526.23965,1060.60254502099,7.94729876067854,9228466.0
Benin,BEN,2009,26.9789553760994,9738626517.00319,1024.10277858112,0.896072355749069,9509423.0
Benin,BEN,2010,25.8411354962681,9535345015.78355,973.244254931526,2.20783532536524,9797484.0
Benin,BEN,2011,25.7970008253273,10693321363.6574,1059.41358852588,2.7042390774728,10093623.0
Benin,BEN,2012,25.7689758312295,11141358115.8991,1071.5258366283,6.74468253340712,10397657.0
Benin,BEN,2013,25.2754046390823,12517845123.9315,1168.92699279226,0.428888888888884,10708834.0
Benin,BEN,2014,25.6184529738008,13284527846.9081,1204.39918670094,-0.548757550948181,11030004.0
Benin,BEN,2015,26.3920850925037,11388160996.7738,1002.41886879614,0.218785923536245,11360681.0
Benin,BEN,2016,27.7536354980493,11821065853.3838,1010.5338961993,-0.793310145785624,11697842.0
Benin,BEN,2017,28.4890165273264,12701655836.9467,1054.97408066814,0.0432648555103608,12039780.0
Benin,BEN,2018,28.0647739127077,14262408089.9261,1151.7409703472,0.919170717886054,12383347.0
Benin,BEN,2019,26.8758016258337,14391686313.4641,1130.82135339795,0.732849371241066,12726755.0
Benin,BEN,2020,27.1091750361118,15686741883.934,1200.19426557789,3.02272119663759,13070169.0
Benin,BEN,2021,28.5289506098592,17687623530.3355,1318.65158075198,1.73353962694036,13413417.0
Benin,BEN,2022,26.8966787968124,17425405090.862,1266.42711031904,1.35077863583527,13759501.0
